tree	mode	type	object	path
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	af677f27f9d83ff6e1fc7c3e1334ac42a370ca55	dependabot.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	703e3ad6fb8da5afb8b5203332896591fb60d0e6	workflows/android.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	4f0e3129a315dd0af329ae978c10c8ccf78ad5da	workflows/ci.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	ab8515af52d8f9999353486089936d1bc5f25b18	workflows/codeql.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	b16dfb9f38e095fe5674621f05e8e7a5263bfb2a	workflows/ios.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	7fa6d11203cd962d0a2fa41f67f873431e5a1851	workflows/js.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	4c7dca6d990b02f8e5ca5796d7f29cc3d43faa0a	workflows/linux.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	c69440f55476ca2b01cc5d7523d365b52069d3ba	workflows/macos.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	a68dc7cf8a700921a3069dc2e35fe773de4afd56	workflows/publish.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	b222c3fd2b38d524fcafce97e31884d293f79005	workflows/wasm.yml
06eb0188928bb8094750bda1efd19697db55b37b	100644	blob	5408a2ce3fabf202066448be3ce2dcf452af7f2a	workflows/windows.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	703e3ad6fb8da5afb8b5203332896591fb60d0e6	android.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	4f0e3129a315dd0af329ae978c10c8ccf78ad5da	ci.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	ab8515af52d8f9999353486089936d1bc5f25b18	codeql.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	b16dfb9f38e095fe5674621f05e8e7a5263bfb2a	ios.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	7fa6d11203cd962d0a2fa41f67f873431e5a1851	js.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	4c7dca6d990b02f8e5ca5796d7f29cc3d43faa0a	linux.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	c69440f55476ca2b01cc5d7523d365b52069d3ba	macos.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	a68dc7cf8a700921a3069dc2e35fe773de4afd56	publish.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	b222c3fd2b38d524fcafce97e31884d293f79005	wasm.yml
47bdd741857f8445eb013350dbc716abc782c56f	100644	blob	5408a2ce3fabf202066448be3ce2dcf452af7f2a	windows.yml
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	6c9b89fe921360e6ebb297c92043dd6363284bc0	.ast_distance_config.json
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	c215dd521140cd644b739fd4256c1f246d69ee97	.github/workflows/ci.yml
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	ad85283881fcadd75a958a462994c25ec476cafa	.github/workflows/codeql.yml
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	3630a7ee9c95950b24fb664f3cb4b9fa490d7446	.github/workflows/publish.yml
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	3eafad1f53294cd0046b2928c3c573eab1c68c2a	.gitignore
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	6deb3b21cd958ececfcb364546740f0d37251dc5	AGENTS.md
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	94c29fbc3061c8d7a0012f3a28e716188a25c0e4	CLAUDE.md
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	a3995af77e9da0c3015ff2c412e39cee4838a419	LICENSE
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	1b5ec8b78e237b5c3b3d812a7c0a6589d0f7161d	LICENSE-APACHE
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	31aa79387f27e730e33d871925e152e35e428031	LICENSE-MIT
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	7d5e44dc86edcfa85dafe9a5c4b831a9f5f99d78	PORT_REPORT.md
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	714c2738b5dacb9d10c2bf30e5ed52928c47c621	PORT_TARGETS.md
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	805fd03efba315406df188c91f2582b4e06e30a5	README.md
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	a444afa4009e8c2038204208898455780000c6ea	RUST_CALLERS.md
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	6432afa63724aae46587c9eaca2bf1dd7aa26bad	build.gradle.kts
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	8f9af6746bf20bcf91f14642495f8e55aa4733cc	gradle.properties
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	f70c2c2f12aa8a458c0e9c9b13e3a0f71d6572ca	gradle/npm/karma-webpack/LICENSE
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	f7618341af261238213180c54020b9fc00569779	gradle/npm/karma-webpack/lib/index.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	ed49b527b7714ba5b0b7ec4b8dc5d546864e4d85	gradle/npm/karma-webpack/lib/karma-webpack/controller.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	b44e9793a726aa764aa214d7e8a1e2d2d82e1aa5	gradle/npm/karma-webpack/lib/karma-webpack/framework.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	4733724fc8e94181452ad2ddc956ceea0b4cf207	gradle/npm/karma-webpack/lib/karma-webpack/preprocessor.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	1f990c4382a8c5e37e69e9f40851828bf6b516de	gradle/npm/karma-webpack/lib/karma/plugin.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	a40edb1e94632f3da9cb6afeffae1615e99460c1	gradle/npm/karma-webpack/lib/karma/validation.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	d6389fd10b07fd3173fccac77a59b334b374d27f	gradle/npm/karma-webpack/lib/utils/hash.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	b2de6569d258b1065e190a2ce8f8eab663d2169a	gradle/npm/karma-webpack/lib/webpack/defaults.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	34244c85f6640072ea408b878d05ab8aa9e06355	gradle/npm/karma-webpack/lib/webpack/plugin.js
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	e00ee87b5e1aebaec10dffbdcf07260151c4865e	gradle/npm/karma-webpack/package.json
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	f8e1ee3125fe0768e9a76ee977ac089eb657005e	gradle/wrapper/gradle-wrapper.jar
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	c61a118f7ddb21223f1a2fdd05f6aec1b9863aec	gradle/wrapper/gradle-wrapper.properties
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100755	blob	adff685a0348c64b2b64f0b302f1f82b28eeaaea	gradlew
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	c4bdd3ab8e3ccd2ac3a2bc0db0f856f16b79ef39	gradlew.bat
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	5f4567d648bad873101fee96146197a4ff798780	kotlin-js-store/wasm/yarn.lock
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	fa6e6621708cb8d91dc6dcee589a175bcabf845e	kotlin-js-store/yarn.lock
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	187fcd2983a74ee6926b8c1e5fe05dec648a21c9	settings.gradle.kts
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	src/commonMain/kotlin/io/github/kotlinmania/syn/.gitkeep
ab4c1c56c23d639df2b0beb618902f7796c26ae9	100644	blob	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	src/commonTest/kotlin/io/github/kotlinmania/syn/.gitkeep
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	6c9b89fe921360e6ebb297c92043dd6363284bc0	.ast_distance_config.json
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	af677f27f9d83ff6e1fc7c3e1334ac42a370ca55	.github/dependabot.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	703e3ad6fb8da5afb8b5203332896591fb60d0e6	.github/workflows/android.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	4f0e3129a315dd0af329ae978c10c8ccf78ad5da	.github/workflows/ci.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	ab8515af52d8f9999353486089936d1bc5f25b18	.github/workflows/codeql.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	b16dfb9f38e095fe5674621f05e8e7a5263bfb2a	.github/workflows/ios.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	7fa6d11203cd962d0a2fa41f67f873431e5a1851	.github/workflows/js.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	4c7dca6d990b02f8e5ca5796d7f29cc3d43faa0a	.github/workflows/linux.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	c69440f55476ca2b01cc5d7523d365b52069d3ba	.github/workflows/macos.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	a68dc7cf8a700921a3069dc2e35fe773de4afd56	.github/workflows/publish.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	b222c3fd2b38d524fcafce97e31884d293f79005	.github/workflows/wasm.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	5408a2ce3fabf202066448be3ce2dcf452af7f2a	.github/workflows/windows.yml
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	3eafad1f53294cd0046b2928c3c573eab1c68c2a	.gitignore
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	875d053be10732ec6f6848e0e1a916a0f83b45ca	AGENTS.md
b6582fd6454f5d9508c6bd3c4148aea7abe6d8bb	100644	blob	dc895fa1e26286d51108c5e2edc9ef71a8c13c26	CLAUDE.md
